genre,season,capacity,ticket_price,marketing_spend,run_length_weeks,cast_popularity,is_musical,has_celebrity,prior_show_avg_rating,tickets_sold,total_revenue,sold_out
Drama,Fall,1305,114.8,300033.71,17,1.63,0,0,4.08,112929,12964249.2,0
Family,Summer,1763,233.94,138588.44,25,4.02,0,0,3.24,142715,33386747.1,0
Comedy,Winter,1475,109.13,96544.24,15,9.64,0,0,2.02,160418,17506416.34,1
Thriller,Spring,1248,117.98,51869.27,17,3.91,0,0,7.76,114915,13557671.7,0
Tragedy,Winter,1728,165.39,42753.98,31,6.6,0,1,4.71,268799,44456666.61,0
Family,Spring,736,205.38,377818.35,24,5.68,0,0,9.43,139898,28732251.24,1
Experimental,Summer,878,175.4,144670.76,22,9.43,0,1,5.09,75917,13315841.8,0
Family,Fall,324,216.26,489317.48,12,2.46,0,0,8.37,30792,6659077.92,1
Experimental,Winter,1457,50.64,95644.96,6,3.69,0,0,2.17,29366,1487094.24,0
Experimental,Spring,1502,233.03,180451.09,29,8.76,0,0,2.36,148138,34520598.14,0
Musical,Fall,1552,228.38,190579.77,18,7.0,1,1,3.46,209820,47918691.6,1
Drama,Spring,1547,141.81,252575.63,4,5.89,0,1,2.72,34757,4928890.17,0
Family,Spring,429,165.57,435964.76,16,4.55,0,0,9.79,54362,9000716.34,1
Thriller,Winter,1399,72.88,418211.25,4,4.7,0,0,8.27,44320,3230041.6,1
Musical,Fall,1573,125.79,9928.38,31,9.41,1,1,4.14,386202,48580349.58,1
Musical,Summer,566,70.61,207581.26,17,7.04,1,0,5.68,76206,5380905.66,1
Tragedy,Fall,1057,29.94,414828.68,25,9.36,0,1,5.8,209286,6266022.84,1
Thriller,Summer,1843,245.7,5097.91,16,9.75,0,1,6.46,172861,42471947.7,0
Drama,Summer,946,83.31,269151.59,2,5.92,0,0,1.93,11079,922991.49,0
Drama,Summer,1555,158.45,133440.43,21,6.49,0,1,4.14,164469,26060113.05,0
Musical,Summer,1154,92.56,209320.43,21,6.91,1,1,1.77,191933,17765318.48,1
Tragedy,Winter,1383,108.39,213050.83,8,8.55,0,0,9.27,71374,7736227.86,0
Musical,Summer,1327,114.5,198918.45,23,6.93,1,1,4.63,241726,27677627.0,1
Thriller,Summer,1371,100.39,446515.31,8,2.03,0,1,7.54,85909,8624404.51,1
Tragedy,Fall,1602,168.41,270549.49,22,9.48,0,1,9.29,279132,47008620.12,1
Tragedy,Winter,1827,241.21,452354.63,24,6.95,0,0,3.78,266326,64240494.46,0
Thriller,Summer,732,121.44,364737.49,6,8.83,0,0,1.79,29625,3597660.0,0
Tragedy,Winter,1870,244.0,178804.44,10,4.82,0,1,4.03,85198,20788312.0,0
Family,Summer,1330,175.25,249314.02,6,5.27,0,1,7.04,61455,10769988.75,1
Family,Fall,1272,161.61,197979.98,23,7.2,0,0,5.5,191955,31021847.55,0
Experimental,Winter,789,78.35,415144.27,9,7.99,0,1,1.67,47257,3702585.95,0
Family,Summer,950,39.16,97860.92,21,1.71,0,0,1.63,114293,4475713.88,0
Tragedy,Spring,1372,216.69,468524.08,14,4.67,0,1,7.3,117559,25473859.71,0
Tragedy,Fall,854,154.15,292310.12,4,7.93,0,1,7.63,20468,3155142.2,0
Drama,Spring,717,118.24,307820.19,28,9.93,0,1,1.99,156916,18553747.84,1
Thriller,Summer,1674,207.69,260816.69,23,1.1,0,0,8.15,129560,26908316.4,0
Musical,Winter,947,94.88,279475.76,9,3.38,1,1,4.11,67502,6404589.76,1
Experimental,Summer,1360,201.31,335499.33,28,5.18,0,0,1.61,95458,19216649.98,0
Family,Fall,256,98.79,329242.45,23,3.01,0,0,4.0,46632,4606775.28,1
Musical,Fall,339,232.2,111002.81,26,1.24,1,0,7.57,41285,9586377.0,0
Family,Spring,1726,85.29,293307.88,7,5.86,0,0,6.9,95689,8161314.81,1
Musical,Summer,455,55.95,180540.09,2,6.84,1,1,5.33,7207,403231.65,1
Family,Fall,1632,182.07,320330.0,3,4.74,0,1,3.52,36984,6733676.88,1
Musical,Spring,1820,61.64,276178.12,18,4.33,1,0,4.76,259459,15993052.76,1
Tragedy,Summer,1066,238.61,93941.57,25,9.87,0,1,4.43,147211,35126016.71,0
Thriller,Summer,1792,172.5,368693.29,29,5.3,0,0,4.51,320080,55213800.0,0
Family,Winter,969,76.94,231221.66,30,8.18,0,1,5.41,230234,17714203.96,1
Comedy,Spring,1913,71.98,277963.57,19,3.58,0,0,5.1,254480,18317470.4,0
Experimental,Winter,626,232.87,337958.22,20,8.47,0,1,1.92,58916,13719768.92,0
Family,Summer,970,161.77,328171.53,10,8.41,0,1,3.61,76635,12397243.95,1
Drama,Fall,900,226.09,375719.77,2,3.41,0,1,2.16,11449,2588504.41,0
Thriller,Fall,1611,49.8,107342.11,7,6.9,0,0,6.42,76927,3830964.6,0
Family,Summer,278,233.21,59643.66,3,7.14,0,1,4.81,4857,1132700.97,0
Comedy,Winter,1690,142.01,336243.89,22,4.98,0,0,7.05,294465,41816974.65,1
Family,Spring,242,175.39,121812.55,17,7.96,0,0,1.79,21076,3696519.64,0
Experimental,Spring,768,108.9,61729.41,25,3.76,0,1,4.1,78819,8583389.1,0
Family,Winter,1272,38.31,69962.56,6,5.36,0,1,2.62,60445,2315647.95,1
Family,Fall,461,240.54,159836.06,29,9.91,0,1,1.83,89166,21447989.64,0
Thriller,Winter,1082,248.78,495934.59,23,2.61,0,1,7.96,196553,48898455.34,1
Drama,Summer,1994,107.02,82843.86,29,2.33,0,0,2.18,171704,18375762.08,0
Family,Spring,1681,237.37,152775.6,21,2.28,0,0,2.57,110463,26220602.31,0
Comedy,Spring,254,62.74,460763.41,12,9.98,0,1,4.3,24140,1514543.6,1
Tragedy,Summer,1265,59.8,481837.49,20,2.44,0,0,3.63,127245,7609251.0,0
Comedy,Spring,1275,41.45,118277.46,20,2.71,0,0,9.28,170497,7067100.65,0
Comedy,Winter,322,113.04,440824.09,7,7.25,0,1,9.9,17851,2017877.04,1
Drama,Spring,1370,36.77,73764.38,5,7.84,0,1,4.8,52995,1948626.15,1
Experimental,Winter,1137,113.8,381960.52,21,5.74,0,1,2.81,138235,15731143.0,0
Drama,Spring,1427,56.14,11439.04,4,9.84,0,1,5.48,43096,2419409.44,1
Musical,Spring,735,189.37,206276.72,5,1.35,1,0,5.46,18765,3553528.05,0
Experimental,Summer,660,212.51,127430.93,4,6.59,0,1,5.19,8053,1711343.03,0
Tragedy,Spring,1524,179.76,353483.97,20,6.46,0,0,1.18,135131,24291148.56,0
Tragedy,Summer,1498,70.11,12947.79,29,3.89,0,0,2.16,174934,12264622.74,0
Family,Summer,491,197.54,235126.34,16,9.09,0,1,2.27,59956,11843708.24,1
Comedy,Fall,589,81.14,349880.87,6,5.98,0,0,4.17,27989,2271027.46,1
Musical,Fall,1255,195.88,28118.91,17,3.22,1,1,6.23,108057,21166205.16,0
Family,Spring,1692,152.66,449213.09,16,1.8,0,0,8.9,196883,30056158.78,1
Drama,Spring,563,107.51,183792.72,19,1.96,0,0,3.01,43856,4714958.56,0
Tragedy,Spring,594,43.79,86806.59,14,9.08,0,1,7.94,60670,2656739.3,1
Experimental,Spring,1654,211.19,116604.93,17,3.25,0,0,3.04,62239,13144254.41,0
Experimental,Spring,1454,236.42,172758.43,11,9.16,0,1,1.29,61807,14612410.94,0
Comedy,Summer,1824,174.83,103195.68,29,2.08,0,0,6.85,223958,39154577.14,0
Family,Fall,1610,242.02,257736.48,18,9.86,0,1,2.93,227014,54941928.28,1
Thriller,Summer,1915,235.18,318301.21,11,8.5,0,0,9.28,157147,36957831.46,1
Tragedy,Summer,540,68.79,219547.9,2,2.05,0,0,9.4,5163,355162.77,0
Musical,Summer,689,189.52,216380.91,22,1.77,1,0,1.95,62751,11892569.52,0
Comedy,Fall,628,103.59,391941.26,13,8.23,0,1,2.75,64658,6697922.22,1
Thriller,Summer,299,134.69,154003.27,9,1.7,0,0,2.89,10094,1359560.86,0
Experimental,Spring,1602,60.32,313270.57,16,3.36,0,0,9.2,156692,9451661.44,0
Musical,Summer,1391,244.33,446996.18,16,8.21,1,1,1.7,174328,42593560.24,1
Family,Spring,354,188.38,114649.61,26,9.17,0,1,7.76,72895,13731960.1,1
Family,Summer,556,85.05,311850.86,18,7.91,0,1,3.59,79263,6741318.15,1
Experimental,Winter,543,108.58,474246.03,23,9.01,0,1,6.24,91016,9882517.28,1
Comedy,Summer,925,120.06,267248.65,21,6.04,0,0,2.6,117389,14093723.34,0
Musical,Spring,1019,193.2,488564.37,27,8.02,1,1,8.26,217902,42098666.4,1
Drama,Fall,720,233.28,158472.79,2,4.1,0,0,7.04,6338,1478528.64,0
Family,Spring,1874,97.32,284325.48,13,8.07,0,0,1.19,192947,18777602.04,1
Experimental,Spring,582,131.31,158962.7,23,7.12,0,0,3.13,50619,6646780.89,0
Thriller,Spring,1211,158.47,6841.12,6,6.17,0,1,5.2,39767,6301876.49,0
Musical,Winter,988,113.5,498667.51,15,9.93,1,1,5.78,117374,13321949.0,1
Musical,Winter,897,138.44,123829.73,14,5.23,1,0,8.45,99459,13769103.96,1
Tragedy,Fall,1686,48.78,486685.48,26,6.57,0,0,4.48,347181,16935489.18,1
Thriller,Fall,1961,62.73,328251.25,30,5.59,0,0,9.34,465933,29227977.09,1
Musical,Fall,210,115.25,452447.14,5,3.34,1,0,2.74,8316,958419.0,1
Thriller,Fall,1034,230.86,483765.36,8,3.97,0,1,8.72,63762,14720095.32,1
Tragedy,Fall,414,103.61,286075.46,25,9.81,0,1,9.14,81972,8493118.92,1
Musical,Winter,980,81.2,499847.22,7,4.53,1,0,6.64,54331,4411677.2,1
Musical,Fall,1310,192.14,384828.31,16,7.11,1,0,9.71,166003,31895816.42,1
Tragedy,Spring,940,238.55,264288.21,30,6.1,0,0,4.7,121548,28995275.4,0
Family,Summer,756,128.3,329196.93,31,9.01,0,1,7.29,185613,23814147.9,1
Family,Winter,761,26.94,101164.32,30,7.82,0,1,1.09,180813,4871102.22,1
Tragedy,Summer,739,179.83,10461.15,6,1.73,0,0,3.47,8198,1474246.34,0
Comedy,Spring,786,118.39,132110.73,6,4.2,0,0,6.1,26586,3147516.54,0
Experimental,Winter,873,176.57,220310.58,7,7.41,0,1,8.88,38899,6868396.43,0
Tragedy,Fall,1438,87.49,117886.03,25,2.45,0,0,9.58,179494,15703930.06,0
Comedy,Fall,372,25.54,259447.77,7,5.53,0,1,6.21,20623,526711.42,1
Tragedy,Summer,273,102.51,330682.35,14,3.86,0,0,8.7,21820,2236768.2,0
Musical,Spring,1130,183.58,329617.96,26,1.58,1,0,8.19,199991,36714347.78,0
Comedy,Summer,1427,113.45,447413.39,16,9.97,0,1,7.96,180829,20515050.05,1
Tragedy,Summer,665,74.31,483327.95,30,9.36,0,0,2.0,128600,9556266.0,0
Experimental,Winter,562,129.4,445894.03,16,7.73,0,0,5.31,51842,6708354.8,0
Family,Summer,1324,194.28,311986.6,13,2.81,0,0,5.38,83588,16239476.64,0
Family,Spring,891,51.87,106853.26,31,9.9,0,1,8.09,218758,11346977.46,1
Tragedy,Summer,1524,180.64,472008.32,18,6.68,0,0,6.27,170094,30725780.16,0
Musical,Winter,463,175.15,91555.9,7,9.69,1,1,8.38,25668,4495750.2,1
Comedy,Summer,418,108.42,79956.55,21,1.38,0,0,9.61,41245,4471782.9,0
Experimental,Summer,1194,243.33,162196.82,25,2.56,0,0,5.99,76049,18505003.17,0
Musical,Fall,906,226.31,288934.75,27,7.1,1,1,8.13,193739,43845073.09,1
Experimental,Fall,1512,96.14,342328.95,2,9.16,0,1,6.05,19591,1883478.74,0
Thriller,Summer,1111,32.0,11579.88,5,2.58,0,0,6.63,23865,763680.0,0
Drama,Winter,838,94.37,390121.02,20,3.85,0,0,5.28,130046,12272441.02,1
Family,Fall,487,71.06,91634.68,24,6.29,0,1,9.64,92568,6577882.08,1
Family,Spring,494,148.13,151760.0,21,10.0,0,1,8.36,82162,12170657.06,1
Musical,Summer,1560,231.72,164432.93,13,8.2,1,1,7.77,160617,37218171.24,1
Musical,Winter,607,220.83,169560.77,24,9.31,1,1,3.97,115378,25478923.74,1
Thriller,Summer,1104,93.81,381381.96,19,7.08,0,1,5.37,166129,15584561.49,1
Experimental,Fall,1672,121.43,25267.46,29,8.9,0,1,8.77,253281,30755911.83,0
Musical,Fall,1816,33.22,102276.32,13,5.56,1,0,9.43,186975,6211309.5,1
Thriller,Fall,681,147.44,16048.02,24,2.12,0,0,9.98,71785,10583980.4,0
Musical,Winter,397,39.26,390258.23,6,7.39,1,1,7.61,18865,740639.9,1
Thriller,Spring,1594,236.19,491942.56,23,6.41,0,0,7.58,290363,68580836.97,1
Thriller,Fall,1437,220.06,331475.84,23,5.37,0,1,1.84,203599,44803995.94,0
Musical,Fall,796,73.19,297118.89,9,3.47,1,1,7.76,56738,4152654.22,1
Thriller,Spring,1268,182.36,454492.78,3,8.06,0,1,4.12,30127,5493959.72,1
Experimental,Fall,539,152.8,131202.22,31,8.38,0,0,8.78,93085,14223388.0,0
Experimental,Spring,1461,205.31,37898.84,4,4.28,0,0,1.1,14852,3049264.12,0
Musical,Summer,1509,132.02,257435.1,16,9.35,1,1,9.41,191220,25244864.4,1
Drama,Summer,738,68.15,133872.61,2,4.33,0,0,5.35,6644,452788.6,0
Drama,Spring,1043,168.96,228285.4,14,1.97,0,0,2.15,42593,7196513.28,0
Tragedy,Winter,801,43.06,230868.43,26,2.5,0,0,6.41,127560,5492733.6,0
Drama,Spring,256,156.53,162821.75,17,5.45,0,1,7.23,28298,4429485.94,0
Family,Summer,429,72.86,245730.67,9,1.72,0,0,8.02,24504,1785361.44,0
Family,Winter,1927,179.11,193175.18,13,7.47,0,0,7.32,198403,35535961.33,1
Family,Winter,1020,211.31,60964.37,4,8.16,0,1,5.98,28679,6060159.49,0
Drama,Spring,465,49.64,434029.23,19,5.95,0,0,1.74,69973,3473459.72,1
Musical,Summer,279,115.06,352130.49,2,9.04,1,1,8.77,4419,508450.14,1
Experimental,Fall,836,190.04,25447.89,12,9.59,0,1,9.85,45154,8581066.16,0
Comedy,Winter,1969,61.83,62314.28,3,5.03,0,0,8.0,45037,2784637.71,1
Thriller,Winter,892,152.47,52774.66,9,1.8,0,0,1.31,22882,3488818.54,0
Experimental,Fall,1999,176.16,35563.06,4,3.08,0,0,7.8,24036,4234181.76,0
Musical,Spring,1080,104.83,34233.1,29,6.92,1,1,3.43,248054,26003500.82,1
Musical,Winter,1575,212.2,82770.6,25,4.65,1,0,9.66,287273,60959330.6,1
Musical,Spring,1613,139.9,424695.36,29,7.17,1,1,1.57,370473,51829172.7,1
Drama,Spring,250,166.07,414975.48,22,7.0,0,1,1.83,39934,6631839.38,1
Musical,Fall,210,56.7,392657.51,16,6.45,1,0,2.63,26611,1508843.7,1
Family,Fall,1860,30.21,309279.72,7,2.42,0,0,7.78,103118,3115194.78,1
Thriller,Spring,1878,36.42,363129.31,30,3.57,0,0,6.86,446212,16251041.04,1
Experimental,Spring,438,228.38,370548.2,29,4.4,0,1,7.55,52451,11978759.38,0
Family,Fall,1362,223.59,445209.87,14,8.42,0,1,4.18,151018,33766114.62,1
Experimental,Summer,1862,206.71,367509.8,8,7.14,0,0,8.92,65163,13469843.73,0
Drama,Fall,1911,69.91,369547.36,13,6.8,0,0,5.02,196756,13755211.96,1
Comedy,Summer,733,143.23,403020.18,13,7.05,0,1,2.21,74055,10606897.65,1
Family,Fall,1671,204.13,280395.65,29,5.53,0,1,7.91,383795,78344073.35,1
Drama,Summer,1363,176.8,110449.25,4,1.36,0,0,5.77,18678,3302270.4,0
Musical,Summer,1870,50.99,46848.53,20,2.81,1,1,6.34,269467,13740122.33,1
Thriller,Summer,464,226.5,212426.56,25,2.26,0,0,4.47,41011,9288991.5,0
Family,Fall,1281,61.15,50384.41,24,1.58,0,0,7.4,188181,11507268.15,0
Experimental,Fall,244,63.65,88805.5,7,3.88,0,1,1.32,7254,461717.1,0
Experimental,Fall,843,227.73,16800.81,14,8.09,0,0,5.42,40339,9186400.47,0
Musical,Fall,220,134.04,153602.11,12,2.04,1,0,4.84,12833,1720135.32,0
Family,Spring,997,108.9,485148.92,14,2.0,0,0,7.72,110547,12038568.3,1
Family,Winter,1659,149.57,192570.98,4,2.12,0,0,3.39,39161,5857310.77,0
Thriller,Fall,1384,245.81,124241.84,4,3.43,0,0,3.1,14725,3619552.25,0
Family,Fall,770,51.92,204707.49,2,2.82,0,0,3.88,9785,508037.2,0
Family,Winter,968,195.31,154162.57,31,1.13,0,0,5.32,131682,25718811.42,0
Tragedy,Winter,861,100.22,338569.03,14,3.49,0,0,2.89,69096,6924801.12,0
Musical,Fall,1517,51.34,319061.05,8,9.97,1,1,7.16,96117,4934646.78,1
Tragedy,Winter,679,119.94,18534.74,25,4.03,0,0,3.98,74017,8877598.98,0
Drama,Summer,365,148.47,258104.96,16,2.9,0,1,4.79,36033,5349819.51,0
Musical,Fall,1112,71.34,22918.85,12,5.46,1,1,6.02,104029,7421428.86,1
Musical,Summer,1693,116.19,340294.82,5,3.06,1,0,4.39,58157,6757261.83,0
Thriller,Fall,1058,168.03,468225.12,13,6.04,0,1,7.31,108931,18303675.93,1
Tragedy,Spring,567,154.7,454206.5,21,4.61,0,1,6.91,83870,12974689.0,1
Tragedy,Winter,282,187.71,106827.5,20,9.07,0,0,7.81,30307,5688926.97,0
Family,Spring,1899,213.19,372609.35,13,9.35,0,1,5.71,195521,41683121.99,1
Tragedy,Fall,1569,117.06,397567.66,20,7.42,0,1,4.31,248529,29092804.74,1
Thriller,Spring,479,120.17,432861.93,25,2.94,0,0,2.81,69454,8346287.18,0
Musical,Spring,333,136.76,133501.34,29,5.27,1,0,4.93,58405,7987467.8,0
Family,Winter,432,152.43,228163.25,17,3.75,0,0,8.86,49304,7515408.72,0
Tragedy,Winter,877,49.37,114644.69,8,8.18,0,1,2.09,51248,2530113.76,1
Drama,Spring,1661,95.34,17033.18,5,1.26,0,0,2.94,31113,2966313.42,0
Family,Spring,487,63.68,331211.25,6,6.96,0,0,6.99,23142,1473682.56,1
Family,Winter,1673,111.82,218574.49,2,3.91,0,1,6.17,26500,2963230.0,1
Musical,Winter,203,244.0,127817.86,18,5.33,1,1,9.25,28939,7061116.0,1
Drama,Spring,1529,156.11,424316.45,8,3.91,0,0,1.26,85056,13278092.16,0
Musical,Fall,708,121.61,250361.92,8,4.28,1,1,8.91,44858,5455181.38,1
Drama,Summer,1928,152.34,497355.55,23,7.07,0,0,7.53,311504,47454519.36,0
Musical,Fall,1056,175.54,397712.12,11,6.36,1,0,7.98,91998,16149328.92,1
Thriller,Summer,686,122.86,435259.54,26,3.2,0,0,4.41,100735,12376302.1,0
Tragedy,Spring,637,125.73,387799.46,6,1.39,0,0,3.77,16894,2124082.62,0
Experimental,Summer,1687,182.82,57432.82,12,8.7,0,0,1.13,30408,5559190.56,0
Family,Fall,925,38.69,37189.36,3,5.43,0,0,8.09,21978,850328.82,1
Thriller,Winter,833,146.52,457963.99,18,6.57,0,0,2.45,112624,16501668.48,1
Tragedy,Spring,1524,148.15,73407.61,5,5.4,0,1,3.04,37427,5544810.05,0
Musical,Winter,1167,195.27,198656.94,9,6.57,1,0,3.49,71000,13864170.0,0
Musical,Fall,1394,246.1,306905.95,24,6.64,1,1,8.83,264971,65209363.1,1
Thriller,Winter,1002,204.04,109889.68,28,1.14,0,0,3.59,83687,17075495.48,0
Musical,Winter,315,138.35,116516.1,18,5.8,1,0,4.83,42785,5919304.75,1
Musical,Spring,210,63.13,235789.46,30,5.52,1,1,7.73,49896,3149934.48,1
Drama,Spring,270,157.36,183643.07,24,1.86,0,0,9.03,32076,5047479.36,0
Experimental,Winter,1234,212.72,339904.96,24,7.71,0,1,8.12,163775,34838218.0,0
Tragedy,Spring,1124,234.79,42162.72,31,3.12,0,0,5.82,71730,16841486.7,0
Thriller,Spring,1545,210.69,246935.54,4,1.49,0,0,1.02,21190,4464521.1,0
Comedy,Summer,1810,67.52,91258.66,8,8.23,0,1,2.42,92573,6250528.96,0
Drama,Winter,514,185.33,305328.88,15,8.79,0,1,3.28,61063,11316805.79,1
Comedy,Winter,1923,223.03,62525.58,20,3.17,0,1,4.72,186444,41582605.32,0
Musical,Fall,1876,178.23,102827.77,31,7.19,1,0,4.26,388176,69184608.48,0
Family,Spring,1308,179.29,402925.05,4,1.04,0,0,5.63,33431,5993843.99,0
Drama,Summer,1154,137.54,121407.66,8,7.49,0,1,4.71,52067,7161295.18,0
Comedy,Fall,517,168.32,369847.34,10,5.18,0,0,7.53,40946,6892030.72,1
Experimental,Spring,520,91.24,140166.04,22,8.13,0,1,1.47,46861,4275597.64,0
Thriller,Fall,233,44.98,121338.62,30,4.54,0,1,9.95,55360,2490092.8,1
Tragedy,Spring,1362,211.24,153081.62,30,4.16,0,1,8.59,190462,40233192.88,0
Tragedy,Summer,979,237.21,441061.33,24,8.57,0,1,4.01,138196,32781473.16,0
Family,Spring,545,217.79,201597.0,25,1.35,0,0,4.57,64366,14018271.14,0
Drama,Fall,440,100.13,125661.46,14,2.68,0,0,9.67,34277,3432156.01,0
Thriller,Winter,314,46.04,270636.54,20,4.71,0,1,9.42,49737,2289891.48,1
Experimental,Spring,1353,88.03,195892.5,7,6.37,0,0,4.54,34144,3005696.32,0
Thriller,Winter,1433,214.64,396147.77,17,1.05,0,0,1.54,115793,24853809.52,0
Tragedy,Fall,1336,172.56,495270.58,10,6.18,0,0,9.89,98111,16930034.16,1
Drama,Winter,399,242.51,265654.35,29,4.41,0,0,6.88,61751,14975235.01,0
Drama,Winter,274,102.1,228615.7,13,6.67,0,1,7.24,28211,2880343.1,1
Experimental,Spring,391,149.08,174802.52,13,9.16,0,1,3.47,23064,3438381.12,0
Tragedy,Fall,1552,202.76,486802.67,14,4.97,0,0,8.37,164595,33373282.2,1
Comedy,Fall,1531,77.65,244225.22,29,5.99,0,1,6.02,351640,27304846.0,1
Comedy,Spring,730,241.92,93108.45,29,5.17,0,1,5.23,112879,27307687.68,0
Thriller,Summer,299,158.29,484761.87,14,2.07,0,0,7.67,24352,3854678.08,0
Tragedy,Winter,775,26.78,480636.65,31,8.14,0,1,4.35,190278,5095644.84,1
Thriller,Fall,1657,30.66,220683.9,24,8.97,0,1,4.86,314962,9656734.92,1
Drama,Summer,458,223.5,177352.08,27,8.3,0,1,6.87,76115,17011702.5,0
Thriller,Summer,1633,170.19,341816.54,29,9.53,0,1,6.76,375067,63832652.73,1
Tragedy,Winter,1034,196.69,415317.44,11,5.21,0,0,9.74,74909,14733851.21,0
Experimental,Summer,454,201.4,251773.41,18,6.87,0,1,6.07,31189,6281464.6,0
Drama,Spring,1881,119.6,168752.43,10,2.52,0,0,3.89,63964,7650094.4,0
Drama,Fall,1133,204.69,154190.04,11,9.79,0,1,3.59,82095,16804025.55,0
Tragedy,Winter,1408,235.94,166666.37,15,6.22,0,0,5.81,84167,19858361.98,0
Tragedy,Spring,373,63.74,63426.31,3,3.35,0,0,2.08,3549,226213.26,0
Thriller,Summer,868,196.93,390417.12,8,8.25,0,1,6.29,54996,10830362.28,1
Comedy,Summer,1338,94.25,56955.13,26,6.28,0,0,4.51,214359,20203335.75,0
Experimental,Spring,1361,97.34,202165.67,6,9.55,0,1,4.17,38059,3704663.06,0
Tragedy,Fall,313,117.87,418296.95,20,7.93,0,1,2.73,46990,5538711.3,1
Musical,Summer,1287,219.34,205032.42,24,8.9,1,1,5.46,234374,51407593.16,1
Musical,Spring,1900,29.96,150907.09,9,5.92,1,1,1.34,135432,4057542.72,1
Experimental,Summer,1615,122.63,474385.59,15,5.66,0,1,6.46,121857,14943323.91,0
Musical,Winter,573,178.01,67639.16,28,7.82,1,1,3.57,125307,22305899.07,1
Experimental,Winter,1842,49.84,443002.68,27,1.95,0,1,9.15,349810,17434530.4,0
Drama,Fall,1429,203.26,35728.02,29,1.49,0,0,5.74,133844,27205131.44,0
Musical,Summer,302,236.93,209697.06,20,9.85,1,1,8.03,47836,11333783.48,1
Comedy,Winter,430,45.46,317701.92,28,9.25,0,0,8.66,95356,4334883.76,1
Thriller,Spring,1858,59.41,188169.0,13,9.6,0,1,8.91,191299,11365073.59,1
Comedy,Fall,577,244.17,269630.18,20,1.56,0,0,8.84,66022,16120591.74,0
Family,Fall,374,69.52,105980.82,22,3.42,0,0,3.03,54084,3759919.68,0
Thriller,Fall,1011,42.76,286672.09,31,9.11,0,0,3.73,248220,10613887.2,1
Comedy,Spring,1146,239.24,71606.56,13,1.81,0,0,7.37,45280,10832787.2,0
Thriller,Fall,1231,225.84,399067.68,28,5.06,0,0,5.84,207162,46785466.08,0
Experimental,Fall,1385,172.54,293976.01,17,4.07,0,1,6.48,115640,19952525.6,0
Comedy,Winter,1997,149.07,243556.4,5,8.92,0,1,7.1,79081,11788604.67,1
Drama,Spring,1566,231.83,32060.06,21,5.66,0,1,2.03,117838,27318383.54,0
Comedy,Fall,246,172.49,252388.3,31,3.61,0,0,2.51,52186,9001563.14,0
Family,Winter,359,173.14,283966.87,15,5.72,0,0,6.74,42649,7384247.86,1
Drama,Summer,200,214.83,136505.42,18,2.01,0,0,6.63,12952,2782478.16,0
Experimental,Fall,911,171.98,340407.22,29,7.58,0,0,8.36,133508,22960705.84,0
Thriller,Spring,830,138.33,42998.75,29,6.57,0,0,7.24,129790,17953850.7,0
Thriller,Fall,1880,112.69,108301.1,14,6.41,0,0,2.87,161505,18199998.45,0
Comedy,Fall,859,138.21,370086.52,24,4.94,0,0,1.63,162411,22446824.31,1
Experimental,Spring,255,142.56,77875.0,20,3.65,0,1,4.52,16010,2282385.6,0
Musical,Spring,1790,106.19,126546.67,21,1.59,1,0,4.34,199585,21193931.15,0
Comedy,Fall,668,125.83,327173.4,23,9.52,0,1,7.91,121682,15311246.06,1
Comedy,Spring,1842,205.42,365776.64,11,4.75,0,1,7.04,148061,30414690.62,1
Tragedy,Summer,1594,118.72,30487.18,11,5.46,0,1,8.85,73688,8748239.36,0
Tragedy,Spring,1784,30.75,67661.76,2,4.38,0,0,5.54,15589,479361.75,0
Drama,Winter,1675,88.68,225828.41,27,9.89,0,1,3.6,358182,31763579.76,1
Drama,Fall,457,77.14,298433.5,10,8.17,0,1,5.54,36194,2792005.16,1
Musical,Winter,1327,203.56,229621.71,22,1.86,1,0,2.94,163236,33228320.16,0
Thriller,Spring,941,126.09,325299.65,22,6.47,0,1,1.54,135924,17138657.16,0
Comedy,Spring,1331,88.07,379216.49,23,5.36,0,0,5.5,242377,21346142.39,1
Tragedy,Fall,1542,207.41,475024.2,27,8.14,0,0,4.72,280229,58122296.89,0
Thriller,Fall,1101,29.32,178190.95,28,9.98,0,1,1.29,244157,7158683.24,1
Thriller,Winter,762,64.21,85736.86,2,7.7,0,1,7.49,12070,775014.7,1
Tragedy,Winter,1849,211.06,135721.58,27,8.78,0,0,6.8,290910,61399464.6,0
Thriller,Winter,1393,148.9,78341.4,8,5.52,0,0,1.66,49752,7408072.8,0
Thriller,Spring,1793,199.07,200151.59,21,4.36,0,1,7.39,224011,44593869.77,0
Thriller,Summer,626,213.59,436920.8,22,6.79,0,0,1.75,77580,16570312.2,0
Thriller,Winter,1708,236.94,176794.65,3,7.74,0,1,5.66,34872,8262571.68,0
Comedy,Fall,782,39.27,78667.24,10,3.05,0,0,6.6,55826,2192287.02,1
Drama,Winter,1028,204.83,263703.28,29,5.53,0,1,5.49,184530,37797279.9,0
Family,Fall,1748,184.47,496012.19,6,2.02,0,0,7.73,83064,15322816.08,1
Comedy,Spring,838,71.58,98149.7,8,2.95,0,0,4.47,41737,2987534.46,0
Tragedy,Summer,650,234.63,390048.1,4,8.94,0,1,2.92,16939,3974397.57,0
Drama,Winter,1847,115.95,412562.68,7,2.3,0,0,5.38,81429,9441692.55,0
